bathroomcnt,bedroomcnt,calculatedfinishedsquarefeet,propertylandusetypeid,yearbuilt,structuretaxvaluedollarcnt,assessmentyear,logerror,rf_logerror,stacking_logerror,DNN_logerror,id2
2,2,1421,261,1951,61022,2015,0.503398765,0.158100625,0.148687,-0.040050417,06037128802
2,2,1421,261,1951,61952,2016,0.503398765,0.147751016,0.1986883,-0.041077107,06037128802
3,2,1633,266,1989,176000,2015,0.130861436,-0.001028718,0.04229611,-0.033066213,060371396
3,2,1633,266,1989,193000,2016,0.130861436,-0.043581391,0.005188644,-0.036130972,060371396
2,2,1590,266,1974,63219,2015,0.238940212,0.12898643,0.06868911,-0.034597423,060371396
2,2,1590,266,1974,64183,2016,0.238940212,0.127624038,0.15409046,-0.033781171,060371396
2,3,1680,261,1961,133104,2015,-0.205123136,-0.127051679,-0.2051974,-0.033873208,060371414
2,3,1680,261,1961,135133,2016,-0.205123136,-0.122901307,-0.09967989,-0.038730595,060371414
2,3,1245,261,1939,104000,2015,0.493529186,0.300711438,0.353458,-0.042925082,06037128910
2,3,1245,261,1939,580000,2016,0.493529186,0.050594251,-0.03617668,-0.060910948,06037128910
2,2,1289,266,1971,130991,2015,0.018066358,-0.162168227,-0.13183981,-0.035265476,06037141202
2,2,1289,266,1971,132988,2016,0.018066358,-0.15572001,-0.10608864,-0.034134526,06037141202
3,2,1347,266,1974,118902,2015,0.077420718,-0.0559783,-0.16561651,-0.034573555,06037141202
3,2,1347,266,1974,120715,2016,0.077420718,-0.051332394,-0.048973978,-0.026348874,06037141202
3,2,2185,261,1957,429047,2015,-0.08282782,0.037920879,-0.054870844,-0.021913273,060371417
3,2,2185,261,1957,435589,2016,-0.08282782,0.046668468,-0.017453492,-0.02023829,060371417
2,2,1518,266,1978,100997,2015,0.41394955,-0.014046255,0.038852155,-0.034551915,06037141304
2,2,1518,266,1978,102537,2016,0.41394955,-0.02627553,2.02e-05,-0.033731136,06037141304
3,5,2893,261,1968,441139,2015,0.711678703,0.149834375,0.17281276,0.043906461,06037141304
3,5,2893,261,1968,447866,2016,0.711678703,0.116794921,0.11482862,-0.013920816,06037141304
3,2,1644,261,1940,252100,2015,1.1357122,0.290651139,0.5798737,-0.039737199,060371416
3,2,1644,261,1940,255944,2016,1.1357122,0.286882965,0.69373125,-0.026149627,060371416
2,4,1800,261,1960,164000,2015,0.05595265,-0.012436016,-0.031077206,-0.019211136,060371197
2,4,1800,261,1960,164000,2016,0.05595265,0.007937695,-0.061558843,-0.052342698,060371197
2,5,1716,261,1948,70539,2015,0.403086902,0.183469278,0.17429683,-0.011105075,06037121010
2,5,1716,261,1948,71614,2016,0.403086902,0.171160192,0.19467849,-0.052913789,06037121010
1,3,1706,261,1948,123927,2015,-0.120130671,-0.036849987,-0.07686168,-0.010538412,060371237
1,3,1706,261,1948,125816,2016,-0.120130671,-0.053267317,-0.01013118,-0.05246928,060371237
2,2,1268,266,1991,203196,2015,0.005793542,-0.017364488,0.046697915,-0.032485694,06037125401
2,2,1268,266,1991,206294,2016,0.005793542,-0.013590331,0.007208288,-0.032920148,06037125401
1,2,910,261,1941,38997,2015,0.030580239,0.130195679,0.21262515,-0.042923249,060371251
1,2,910,261,1941,39591,2016,0.030580239,0.125060392,0.4896484,-0.036962952,060371251
3,3,1892,261,1950,308496,2015,0.364731376,0.073142375,0.04279709,-0.029679913,060371247
3,3,1892,261,1950,313200,2016,0.364731376,0.071901066,0.058241546,-0.027300972,060371247
1,1,876,266,1976,99900,2015,0.330065764,-0.051755008,-0.08362156,-0.031422645,06037143602
1,1,876,266,1976,107265,2016,0.330065764,-0.055405072,-0.073334634,-0.031076854,06037143602
4,3,3326,261,1954,661505,2015,0.029351897,-0.037086654,-0.06658554,0.018650748,06037143901
4,3,3326,261,1954,671592,2016,0.029351897,-0.036872312,-0.082924664,-0.015021039,06037143901
3,3,2693,261,1958,323981,2015,-0.035643405,0.150773715,0.40605634,0.006525557,06037143902
3,3,2693,261,1958,328921,2016,-0.035643405,0.147232762,0.31794614,-0.024204819,06037143902
2,3,1170,261,1944,56212,2015,0.372165359,0.205747743,0.3136748,-0.036083575,06037125310
2,3,1170,261,1944,57069,2016,0.372165359,0.185775142,0.3909864,-0.053547397,06037125310
1,3,1027,261,1944,75917,2015,0.141176375,-0.012611433,0.030395776,-0.060951676,060373110
1,3,1027,261,1944,77074,2016,0.141176375,0.000444546,0.021507591,-0.02354968,060373110
5,4,4480,261,1999,651569,2015,0.065137835,0.231778816,0.1836183,0.130456537,060373101
5,4,4480,261,1999,661505,2016,0.065137835,0.225779144,0.16605726,0.102874458,060373101
2,3,988,261,1960,80792,2015,0.26187247,0.150774592,0.21947521,-0.04737217,06037106406
2,3,988,261,1960,82024,2016,0.26187247,0.095114121,0.13984013,-0.036907226,06037106406
2,4,1700,246,1954,111474,2015,-0.230567599,-0.108084483,-0.090875626,-0.020768926,06037106520
2,4,1700,246,1954,90000,2016,-0.230567599,-0.09797445,-0.051007032,-0.048194785,06037106520
1,3,1361,261,1950,52366,2015,-0.71335198,-0.146754325,-0.19500715,-0.038101543,06037107020
1,3,1361,261,1950,53164,2016,-0.71335198,-0.158751202,-0.19277632,-0.039071795,06037107020
0,1,400,261,1913,10357,2015,0.873801673,0.551551458,1.0788376,-0.07172288,060373203
0,1,400,261,1913,10514,2016,0.873801673,0.560108209,1.0255442,-0.045985717,060373203
1,3,1383,261,1920,78059,2015,0.018066358,0.019010516,-0.07420188,-0.028886648,060371032
1,3,1383,261,1920,79249,2016,0.018066358,0.013992534,-0.016462743,-0.058023978,060371032
3,3,2068,261,1963,216375,2015,0.201006618,-0.040246202,-0.05552411,-0.030324198,060371033
3,3,2068,261,1963,219674,2016,0.201006618,-0.024400841,-0.04291165,-0.030956153,060371033
2,3,1204,266,1979,106000,2015,-0.356847969,-0.208100374,-0.24670488,-0.044611879,06037103401
2,3,1204,266,1979,113000,2016,-0.356847969,-0.219382755,-0.2299847,-0.035209004,06037103401
2,3,1540,261,1959,224395,2015,-0.199790094,-0.230474697,-0.23544723,-0.044404704,060371033
2,3,1540,261,1959,227817,2016,-0.199790094,-0.249754836,-0.422673,-0.04782116,060371033
3,3,2004,261,1989,147913,2015,-0.162977785,-0.071622083,-0.08223015,-0.030543238,060371034
3,3,2004,261,1989,150168,2016,-0.162977785,-0.058232853,-0.08650172,-0.039010309,060371034
3,2,1607,261,1992,294774,2015,0.065137835,0.233361347,0.3579359,-0.032879636,060371013
3,2,1607,261,1992,294774,2015,0.636418808,0.233361347,0.3579359,-0.032879636,060371013
3,2,1607,261,1992,299269,2016,0.065137835,0.232113605,0.5071953,-0.038234174,060371013
3,2,1607,261,1992,299269,2016,0.636418808,0.232113605,0.5071953,-0.038234174,060371013
2,3,1564,261,1956,76778,2015,0.441626783,0.121938288,0.3103318,-0.044442803,060371013
2,3,1564,261,1956,77948,2016,0.441626783,0.119899998,0.2572039,-0.037989952,060371013
2,3,1572,261,1976,142627,2015,0.038949633,-0.172333577,-0.14267749,-0.043555517,06037106020
2,3,1572,261,1976,144802,2016,0.038949633,-0.177739352,-0.13748354,-0.036307849,06037106020
3,3,3145,261,1980,539698,2015,-0.281642071,-0.151546368,-0.16607004,0.020241525,06037106643
3,3,3145,261,1980,547928,2016,-0.281642071,-0.151233261,-0.15020269,-0.029641543,06037106643
3,3,1764,261,1998,126522,2015,-0.261345103,-0.043634437,0.009332925,-0.030768864,06037106649
3,3,1764,261,1998,128451,2016,-0.261345103,-0.046451487,-0.010820687,-0.045094982,06037106649
1,2,969,261,1955,27721,2015,1.004985691,0.064627004,0.14972031,-0.056721143,06037104620
1,2,969,261,1955,28143,2016,1.004985691,0.018048417,0.05380863,-0.034151677,06037104620
2,4,1640,261,1953,119564,2015,0.351726948,-0.030478194,-0.04520327,-0.023081742,06037121221
2,4,1640,261,1953,121387,2016,0.351726948,-0.032739921,-0.014197409,-0.048245046,06037121221
3,3,1435,266,1990,150863,2015,-0.126165476,0.007928292,-0.000300407,-0.029013045,06037117520
3,3,1435,266,1990,153163,2016,-0.126165476,-0.023469949,0.004852265,-0.030070836,06037117520
2,4,1554,261,1956,202331,2015,-0.108061062,-0.139440049,-0.15384644,-0.03190095,060371092
2,4,1554,261,1956,205416,2016,-0.108061062,-0.136720174,-0.13591313,-0.053061076,060371092
2,4,1325,261,1955,69455,2015,-0.021156168,-0.07289295,-0.1518408,-0.029989881,06037111201
2,4,1325,261,1955,70514,2016,-0.021156168,-0.079035094,-0.13378114,-0.036243968,06037111201
3,3,1896,261,1956,143315,2015,0.094708378,0.010585772,0.05188915,-0.035940576,06037117302
3,3,1896,261,1956,145500,2016,0.094708378,0.007361319,0.035600007,-0.033407126,06037117302
2,4,1554,261,1956,44854,2015,-0.0644646,0.041084663,0.08292869,-0.029963359,06037117303
2,4,1554,261,1956,45538,2016,-0.0644646,0.093449345,0.07979748,-0.038567372,06037117303
2,4,1922,261,1973,206377,2015,-0.223099469,-0.027670068,-0.07204121,-0.015913147,06037113101
2,4,1922,261,1973,209524,2016,-0.223099469,-0.029449226,-0.044244945,-0.044184357,06037113101
3,5,3372,261,1980,358795,2015,-0.225919975,-0.033554887,0.024033785,0.061471026,06037113211
3,5,3372,261,1980,364266,2016,-0.225919975,-0.0153486,0.019971132,0.008113544,06037113211
2,3,1870,261,1959,119571,2015,0.222042759,-0.109645125,-0.06630862,-0.033632014,06037111206
2,3,1870,261,1959,121394,2016,0.222042759,-0.09560246,-0.080856025,-0.04334322,06037111206
2,2,1436,266,1980,140757,2015,-0.035643405,-0.039726048,-0.066836655,-0.031391978,06037113213
2,2,1436,266,1980,142903,2016,-0.035643405,-0.033568408,-0.11076319,-0.032495178,06037113213
2,2,1312,266,1980,144000,2015,0.041972468,-0.008111559,-0.043619454,-0.031813242,06037113213
2,2,1312,266,1980,146196,2016,0.041972468,-0.01530964,-0.0501343,-0.032514635,06037113213
4,4,3459,261,1967,167061,2015,0.052742871,0.07926129,0.09724033,0.017830513,06037113301
4,4,3459,261,1967,169608,2016,0.052742871,0.079682245,0.029280305,0.006074347,06037113301
1,3,1151,261,1952,134637,2015,-0.346925529,0.190435116,0.11502424,-0.045878422,06037115202
1,3,1151,261,1952,161604,2016,-0.346925529,0.129884179,0.14472485,-0.037110291,06037115202
2,2,900,266,1971,100949,2015,-0.418853507,0.040161492,0.0730409,-0.034234356,06037113233
2,2,900,266,1971,102488,2016,-0.418853507,-0.01038968,0.018761486,-0.032985382,06037113233
1,2,719,266,1980,56000,2015,-0.191195112,0.036788125,-0.006913304,-0.028676588,06037113233
1,2,719,266,1980,64000,2016,-0.191195112,0.045749718,0.02866438,-0.031614151,06037113233
2,3,1377,261,1956,216929,2015,0.089561054,-0.178105381,-0.24136603,-0.042473458,06037113401
2,3,1377,261,1956,220237,2016,0.089561054,-0.141765914,-0.25057894,-0.030997837,06037113401
2,3,1111,261,1959,76000,2015,0.263005679,0.054611995,0.10900265,-0.044855718,06037920035
2,3,1111,261,1959,95000,2016,0.263005679,0.000290946,0.026586175,-0.03749992,06037920035
2,4,1815,261,1972,172472,2015,-0.095529195,-0.254808102,-0.2737323,-0.043931223,06037920017
2,4,1815,261,1972,175102,2016,-0.095529195,-0.259539052,-0.3481853,-0.034080107,06037920017
3,3,2152,261,1987,204879,2015,0.294138262,0.069693221,0.05287853,-0.040175717,06037920032
3,3,2152,261,1987,192700,2016,0.294138262,0.050525892,0.043926597,-0.039852206,06037920032
2,2,1127,266,1992,122544,2015,-0.026947957,0.028463939,-0.002999425,-0.03186962,06037920338
2,2,1127,266,1992,124412,2016,-0.026947957,0.02696663,5.34e-05,-0.031067431,06037920338
4,6,4970,261,1984,511700,2015,1.172996489,0.433257984,0.48825613,0.083055735,06037920313
4,6,4970,261,1984,511700,2016,1.172996489,0.406406213,0.6191724,0.112925738,06037920313
3,4,1877,261,1986,207439,2015,-0.038150637,-0.054652383,-0.049771965,-0.033920221,06037920314
3,4,1877,261,1986,210602,2016,-0.038150637,-0.045767579,-0.058529377,-0.02786655,06037920314
2,3,1316,261,1968,105000,2015,-0.154928398,-0.052438054,-0.001967907,-0.051991474,06037910807
2,3,1316,261,1968,105000,2016,-0.154928398,-0.045013847,-0.007729471,-0.03711183,06037910807
3,4,2507,261,1996,283876,2015,0.193499787,0.005713155,-0.028604865,-0.013888661,06037920040
3,4,2507,261,1996,288205,2016,0.193499787,-0.013823567,-0.034284413,-0.019261967,06037920040
2,3,2096,261,1965,292000,2015,0.098789312,-0.057935438,-0.002598763,-0.037513699,06037910809
2,3,2096,261,1965,340800,2016,0.098789312,-0.090620087,-0.017636895,-0.031110566,06037910809
2,3,934,266,1985,80146,2015,0.469469754,0.014116862,-0.016492903,-0.065733775,06037920038
2,3,934,266,1985,39353,2016,0.469469754,-0.086989735,-0.055624425,-0.033967368,06037920038
2,3,1156,261,1972,182584,2015,-0.236602403,-0.122864004,-0.11520988,-0.057510093,06037910808
2,3,1156,261,1972,185368,2016,-0.236602403,-0.126409051,-0.1223129,-0.039775737,06037910808
3,5,2336,261,1969,193565,2015,0.032064697,-0.000976099,0.044471294,-0.007675726,06037920336
3,5,2336,261,1969,196516,2016,0.032064697,-0.002026243,0.05838397,0.002385642,06037920336
2,2,987,266,1969,76083,2015,0.250406341,-0.014258252,0.000953585,-0.043052617,06037920322
2,2,987,266,1969,140000,2016,0.250406341,-0.074724521,-0.11361498,-0.025557768,06037920322
3,2,1212,266,1988,167480,2015,-0.066390292,-0.003198828,-0.016818285,-0.034848243,06037920334
3,2,1212,266,1988,170034,2016,-0.066390292,-0.009995084,-0.036343157,-0.025104847,06037920334
2,3,1018,269,1981,97942,2015,-1.111773768,-0.211539797,-0.22243017,-0.048948266,06037920331
2,3,1018,269,1981,99435,2016,-1.111773768,-0.190849494,-0.22798544,-0.027851431,06037920331
2,2,1259,269,1983,249799,2015,-0.224532794,-0.188585496,-0.1989479,-0.032461796,06037920329
2,2,1259,269,1983,253608,2016,-0.224532794,-0.192886735,-0.2637009,-0.020996625,06037920329
2,2,940,266,1987,157514,2015,-0.21113289,-0.011833274,-0.031648338,-0.03764471,06037920329
2,2,940,266,1987,159916,2016,-0.21113289,-0.034508633,-0.047843814,-0.030390916,06037920329
2,2,925,266,1989,112655,2015,-0.217240888,-0.081332887,-0.07369977,-0.037036035,06037920330
2,2,925,266,1989,114372,2016,-0.217240888,-0.071498033,-0.074893236,-0.031937197,06037920330
2,2,1046,261,1986,224000,2015,0.112209312,0.029166163,-0.005043209,-0.041346997,06037920104
2,2,1046,261,1986,235400,2016,0.112209312,0.039818038,0.033423156,-0.03090049,06037920104
2,3,1257,261,1987,156525,2015,0.327833746,-0.013523066,-0.025565445,-0.046722427,06037920104
2,3,1257,261,1987,158912,2016,0.327833746,-0.011136347,-0.030884266,-0.029221561,06037920104
3,4,1767,261,1994,190167,2015,-0.098229498,-0.051786474,-0.06025058,-0.032822497,06037910209
3,4,1767,261,1994,193067,2016,-0.098229498,-0.059562299,-0.097917676,-0.045030206,06037910209
2,4,1648,261,1955,115780,2015,-0.75523502,-0.247025972,-0.24723047,-0.031042695,06037910208
2,4,1648,261,1955,117545,2016,-0.75523502,-0.243204997,-0.2469176,-0.033455707,06037910208
2,3,1280,261,1971,68223,2015,0.065137835,-0.082085541,-0.08439863,-0.053568594,06037910201
2,3,1280,261,1971,69263,2016,0.065137835,-0.072746851,-0.08631903,-0.033530358,06037910201
2,3,1223,261,1957,38663,2015,-0.108061062,-0.087285495,-0.025577188,-0.052975271,06037910402
2,3,1223,261,1957,39252,2016,-0.108061062,-0.071928189,-0.0635981,-0.033260718,06037910402
1,3,983,261,1953,35570,2015,-0.200543403,-0.088487633,-0.104767084,-0.051977821,06037910601
1,3,983,261,1953,36112,2016,-0.200543403,-0.081322914,0.000731945,-0.057401299,06037910601
2,3,1388,261,1969,111593,2015,-0.528083473,-0.123960151,-0.16447788,-0.052757185,06037910603
2,3,1388,261,1969,113294,2016,-0.528083473,-0.15761363,-0.17230439,-0.030664738,06037910603
2,3,1136,261,1973,126477,2015,-0.006072861,-0.207040032,-0.18873036,-0.053561565,06037910603
2,3,1136,261,1973,128405,2016,-0.006072861,-0.222764542,-0.17696667,-0.037514865,06037910603
2,3,1460,261,1986,111431,2015,0.05910303,0.06535654,0.029516071,-0.058736861,06037910603
2,3,1460,261,1986,113130,2016,0.05910303,0.048618541,-0.017466903,-0.035142638,06037910603
2,3,1672,261,1991,145718,2015,-0.374195952,-0.175574523,-0.17525053,-0.061494373,06037910705
2,3,1672,261,1991,147940,2016,-0.374195952,-0.169340072,-0.18943858,-0.033168167,06037910705
2,3,1134,261,1988,102461,2015,-0.228305109,-0.223249517,-0.28746635,-0.054810137,06037910002
2,3,1134,261,1988,104023,2016,-0.228305109,-0.245965428,-0.31650072,-0.03832721,06037910002
1,1,486,261,1938,72112,2015,-0.141544198,0.193714537,0.2848109,-0.070472904,06037910812
1,1,486,261,1938,73211,2016,-0.141544198,0.190814892,0.13826343,-0.037742369,06037910812
2,2,1524,261,1990,144562,2015,2.653465598,-0.03017186,0.03452471,-0.063563399,06037911001
2,2,1524,261,1990,146766,2016,2.653465598,-0.021463007,0.040247113,-0.030803535,06037911001
2,3,1624,263,1990,121300,2015,0.005996748,0.138538255,0.13222015,-0.060429826,06037911001
2,3,1624,263,1990,153600,2016,0.005996748,0.130164671,0.07720068,-0.029950054,06037911001
3,5,2839,261,1988,208872,2015,0.041602096,0.015004657,-0.012586355,-0.00427179,06037910301
3,5,2839,261,1988,212057,2016,0.041602096,0.01671104,0.000972629,0.000824481,06037910301
1,3,936,261,1970,74228,2015,-0.149872511,-0.121054302,-0.05606687,-0.060917653,06037901010
1,3,936,261,1970,75359,2016,-0.149872511,-0.091852048,-0.008974314,-0.043341927,06037901010
2,3,1446,261,1985,120471,2015,-0.041947984,-0.26858407,-0.26174313,-0.069538571,06037900803
2,3,1446,261,1985,122308,2016,-0.041947984,-0.262373407,-0.2094137,-0.034119856,06037900803
2,3,1014,261,1957,73032,2015,0.129710246,-0.037923421,-0.063936174,-0.059282016,06037901009
2,3,1014,261,1957,74145,2016,0.129710246,-0.016298837,-0.11603999,-0.035514694,06037901009
2,4,1389,261,1989,87787,2015,0.058628444,-0.053456961,-0.12210071,-0.049267039,06037900804
2,4,1389,261,1989,89125,2016,0.058628444,-0.070896114,-0.12568122,-0.042461336,06037900804
2,3,1502,261,1987,82860,2015,-0.305399178,-0.176985834,-0.22920197,-0.067902535,06037900505
2,3,1502,261,1987,82860,2015,-0.164301141,-0.176985834,-0.22920197,-0.067902535,06037900505
2,3,1502,261,1987,84123,2016,-0.305399178,-0.184364778,-0.19845724,-0.033282608,06037900505
2,3,1502,261,1987,84123,2016,-0.164301141,-0.184364778,-0.19845724,-0.033282608,06037900505
3,4,3054,261,1994,247311,2015,-0.040406455,-0.057342057,-0.13933897,-0.014155321,06037901213
3,4,3054,261,1994,251082,2016,-0.040406455,-0.060840052,-0.1263789,-0.027894218,06037901213
2,2,1619,261,1983,99024,2015,-0.160092805,-0.011350688,-0.09849012,-0.051261157,06037901213
2,2,1619,261,1983,255000,2016,-0.160092805,-0.151542111,-0.221138,-0.02578631,06037901213
